mês,group1,group2,p-adj,reject
Set,Mata Pernambucana,São Francisco Pernambucano,0.0,True
Set,Metropolitana do Recife,Sertão Pernambucano,0.0,True
Set,Metropolitana do Recife,São Francisco Pernambucano,0.0,True
Set,Sertão Pernambucano,São Francisco Pernambucano,0.2222,False
Out,Agreste Pernambucano,Mata Pernambucana,0.8559,False
Out,Agreste Pernambucano,Metropolitana do Recife,0.2501,False
Out,Agreste Pernambucano,Sertão Pernambucano,0.0,True
Out,Agreste Pernambucano,São Francisco Pernambucano,0.0029,True
Out,Mata Pernambucana,Metropolitana do Recife,0.7018,False
Out,Mata Pernambucana,Sertão Pernambucano,0.0,True
Out,Mata Pernambucana,São Francisco Pernambucano,0.0005,True
Out,Metropolitana do Recife,Sertão Pernambucano,0.0,True
Out,Metropolitana do Recife,São Francisco Pernambucano,0.0001,True
Out,Sertão Pernambucano,São Francisco Pernambucano,0.9978,False
Nov,Agreste Pernambucano,Mata Pernambucana,0.932,False
Nov,Agreste Pernambucano,Metropolitana do Recife,0.0,True
Nov,Agreste Pernambucano,Sertão Pernambucano,0.0,True
Nov,Agreste Pernambucano,São Francisco Pernambucano,0.0,True
Nov,Mata Pernambucana,Metropolitana do Recife,0.0,True
Nov,Mata Pernambucana,Sertão Pernambucano,0.0,True
Nov,Mata Pernambucana,São Francisco Pernambucano,0.0,True
Nov,Metropolitana do Recife,Sertão Pernambucano,0.0,True
Nov,Metropolitana do Recife,São Francisco Pernambucano,0.0,True
Nov,Sertão Pernambucano,São Francisco Pernambucano,0.2798,False
Dez,Agreste Pernambucano,Mata Pernambucana,0.692,False
Dez,Agreste Pernambucano,Metropolitana do Recife,0.9674,False
Dez,Agreste Pernambucano,Sertão Pernambucano,0.0,True
Dez,Agreste Pernambucano,São Francisco Pernambucano,0.0,True
Dez,Mata Pernambucana,Metropolitana do Recife,0.5958,False
Dez,Mata Pernambucana,Sertão Pernambucano,0.0,True
Dez,Mata Pernambucana,São Francisco Pernambucano,0.0,True
Dez,Metropolitana do Recife,Sertão Pernambucano,0.0,True
Dez,Metropolitana do Recife,São Francisco Pernambucano,0.0,True
Dez,Sertão Pernambucano,São Francisco Pernambucano,0.0005,True
